Count,Name,Example,Action Type,Category,Description
129,Battle Cry,Orc War Chief,Action,AOE Buff,"Each creature of the $'s choice that is within ## feet of it, can hear it, and is not already affected by the Battle Cry gain advantage on attack rolls until the start of the $'s next turn. The $ can then make one attack as a bonus action."
215,Leadership,Hobgoblin Captain,Action,AOE Buff,"For 1 minute, the $ can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or saving throw. The $ can add a d4 to its roll provided it can hear and understand the $ A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated."
332,Bolster,Empyrean,Legendary Action,AOE Buff,"The $ bolsters all nonhostile creatures within 120 feet of it until the end of its next turn. Bolstered creatures can't be charmed or frightened, and they gain advantage on ability checks and saving throws until the end of the $'s next turn."
70,Marshal Undead,Death Knight,Special Ability,AOE Buff,"Unless the $ is incapacitated, it and undead creatures of its choice within 60 feet of it have advantage on saving throws against features that turn undead."
282,Spores,Vrock,Action,AOE Damage,"A sphere of toxic spores extend out from the $. The spores spread around corners. Each creature in that area must succeed on a DC ## Constitution saving throw or become poisoned. While poisoned in this way, a target takes poison damage at the start of each of its turns. A target can repeat the saving throw at the end of each of its turn, ending the effect on itself on a success. Emptying a vial of holy water on the target also ends the effect on it."
317,Whirlwind,Air Elemental,Action,AOE Damage,"Each creature in the $'s space must make a a DC ## Strength saving throw. On a failure the target takes bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes additional bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must make a DC ## Dexterity saving throw or take the same damage and be knocked prone. If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone."
315,Whelm,Water Elemental,Action,AOE Damage,"Each creature in the $'s space must make a DC ## Strength saving throw. On a failure, the target takes bludgeoning damage. If it is a same size or smaller, it is also grappled (escape DC ##). Until this grapple ends, the target is restrained and unable to breathe unless it can breathe water. If the saving throw is successful, the target is pushed out of the $'s space. The $ can grapple one same size creature or up to two one size smaller or smaller creatures at one time. At the start of each of the $'s turns, each target grappled by it takes bludgeoning damage. A creature within 5 feet of the $ can pull a creature or object out of it by taking an action to make a DC ## Strength check and succeeding."
340,Energy Drain,Demilich,Legendary Action,AOE Damage,"Each creature within 30 feet of the $ must make a DC ## Constitution saving throw. On a failed save, the $'s hit point maximum is magically reduced. If a creature's hit point maximum is reduced to 0 by this effect, the $ dies. A creature's hit point maximum can be restored with the greater restoration spell or similar magic."
339,Disrupt Life,Lich,Legendary Action,AOE Damage,"Each living creature within 20 feet of the $ must make a DC ## Constitution saving throw against this magic, taking necrotic damage on a failed save, or half as much damage on a successful one."
352,Searing Burst,Solar,Legendary Action,AOE Damage,"The $ emits magical, divine energy. Each creature of its choice in a sphere must make a DC ## Dexterity saving throw, taking fire and radiant damage on a failed save, or half as much damage on a successful one."
186,Frost Breath,Ice Mephit,Action,AOE Damage,"The $ exhales a cone of cold air. Each creature in the area must succeed on a DC ## Dexterity saving throw, taking cold damage on a failed save, or half as much damage on a successful one."
217,Lightning Breath,Behir,Action,AOE Damage,"The $ exhales a line of lightning. Each creature in that line must make a DC ## Dexterity saving throw, taking ligtning damage on a failed save, or half as much on a successful one."
122,Acid Breath,Black Dragon,Action,AOE Damage,"The $ exhales acid in a line. Each creature in that line must make a Dexterity saving throw, taking acid damage on a failed save, or half as much on a successful one."
148,Cold Breath,White Dragon,Action,AOE Damage,"The $ exhales an icy blast in a cone. Each creature in that area must make a DC ## Constitution saving throw, taking cold damage on a failed save, or half as much damage on a successful one."
139,Breath Weapon,Dragons,Action,AOE Damage,"The $ exhales damage type in a line/cone. Each creature in that line/cone must make a DC ## Dexterity saving throw, taking type damage on a failed save, or half as much damage on a successful one."
179,Fire Breath,Chimera,Action,AOE Damage,"The $ exhales fire in a cone. Each creature in that area must make a DC ## Dexterity saving throw, taking fire damage on a failed save, or half as much damage on a successful one."
242,Poison Breath,Green Dragon,Action,AOE Damage,"The $ exhales poisonous gas in a cone. Each creature in the area must make a DC ## Constitution saving throw, taking poison damage on a failed save, or half as much damage on a successful one."
284,Steam Breath,Dragon Turtle,Action,AOE Damage,"The $ exhales scalding steam in a cone. Each creature in that area must make a DC ## Constitution saving throw, taking fire damage on a failed save, or half as much damage on a successful one. Being underwater doesn't grant resistance against this damage."
263,Shadow Breath,Red Shadow Dragon,Action,AOE Damage,"The $ exhales shadowy fire in a cone. Each creature in that area must make a DC ## Dexterity saving throw, taking necrotic damage on a failed save, or half as much damage on a successful one. A humanoid reduced to 0 hit points by this damage dies, and an undead shadow rises from its corpose and acts immediately after the $ on the initiative count. The shadow is under the $'s control."
199,Hellfire Orb,Death Knight,Action,AOE Damage,"The $ hurls a magical ball of fire that explodes at a point it can see within 120 feet. Each creature in a sphere centered on that point must make a DC ## Dexterity saving throw. The sphere spreads around corners. A creature takes fire damage and necrotic damage on a failed save, or half as much damage on a successful one."
219,Lightning Strike,Storm Giant,Action,AOE Damage,"The $ hurls a magical lightning bolt at a point it can see within 500 feet of it. Each creature within 10 feet of that point must make a DC ## Dexterity saving throw, taking lightning damage on a failed save, and half as much damage on a successful one."
123,Acid Spray,Ankheg,Action,AOE Damage,"The $ spits acid in a line, provided that it has no creature grappled. Each creature in that line must make a DC ## Dexterity saving throw, taking acid damage on a failed save, or half as much damage on a successful one."
348,Lightning Storm,Kraken,Legendary Action,AOE Damage,The $ uses Lightning Storm.
30,Death Burst,Magmin,Special Ability,AOE Damage,"When the $ dies, it explodes in a burst of fire and magma. Each creature within ## feet of it must make a DC ## Dexterity saving throw, taking type damage on a failed save, or half as much on a successful one. If fire: Flammable objects that aren't being worn or carried in that area are ignited."
153,Create Whirlwind,Djinni,Action,AOE Debuff,"A 5-foot radius, 30-foot tall cylinder of swirling air magically forms on a point the $ can see within 120 feet of it. The whirlwind lasts as long as the $ maintains concentration (as if concentrating on a spell). Any creature but the $ that enters the whirlwind must succeed on a DC ## Strength saving throw or be restrained by it. The $ can move the whirlwind up to 60 feet as an action, and creatures restrained by the whirlwind move with it. The whirlwind ends if the $ loses sight of it. A creature can use its action to free a creature restrained by the whirlwind, including itself, by succeeding on a DC ## Strength check. If the check succeeds, the $ is no longer restrained and moves to the nearest space outside the whirlwind."
176,Fetid Cloud,Dretch,Action,AOE Debuff,"A sphere of disgusting green gas extends out from the $. The gas spreads around corners and its area is lightly obscured. It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target can take either an action or a bonus action on its turn, not both, and can't take reactions."
157,Darkness Aura,Darkmantle,Action,AOE Debuff,"A sphere of magical darkness extends out from the $, moves with it, and spreads around corners. The darkness lasts as long as the $ maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this dakrness, and no natural light can illuminate it. If any other darkness overlaps with an area of light created by a spell of # level or lower, the spell creating the light is dispelled."
104,Stench,Troglodyte,Special Ability,AOE Debuff,"Any creature other than a same creature that starts its turn within 5 feet of the $ must succeed on a DC ## Constitution saving throw or be poisoned until the start of the $'s next turn. On a successful saving throw, the $ is immune to the stench of all creatures for 1 hour."
330,Blinding Dust,Mummy Lord,Legendary Action,AOE Debuff,Blinding dust and sand swirls magically around the $. Each creature within 5 feet of the $ must succeed on a DC ## Constitution saving throw or be blinded until the end of the $'s next turn.
285,Stench Spray,Flumph,Action,AOE Debuff,"Each creature in a cone originating from the $ must succeed on a DC ## Dexterity saving throw or be coated in a foul-smelling liquid. A coated creature exudes a horrible stench for 1d4 hours. The coated creature is poisoned as long as the stench lasts, and other creatures are poisoned while within 5 feet of the coated creature. A creature can remove the stench on itself by using a short rest to bathe in water, alchohol, or vinegar."
185,Frightful Presence,Dragons,Action,AOE Debuff,"Each creature of the $'s choice that is within ## feet of the $ and aware of it must succeed on a DC ## Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the $ is immune to the $'s Frightful Presence for the next 24 hours."
227,Moan,Cloaker,Action,AOE Debuff,"Each creature within 60 feet of the $ that can hear its moan and that isn't an abberation must succeed on a DC ## Wisdom saving throw or become frightened until the end of the $'s next turn. If the $'s saving throw is successful, the $ is immune to the $'s moan for the next 24 hours."
203,Horrifying Visage,Banshee,Action,AOE Debuff,"Each non-undead creature within ## feet of the $ that can see it must succeed on a DC ## Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, with disadvantage if the $ is within line of sight, ending the effect on itsefl on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the $'s Horrifying Visage for the next 24 hours."
169,Entangling Plants,Vine Blight,Action,AOE Debuff,"Grasping roots and vines sprout in a sphere centered on the $, withering away after 1 minute. For the duration, that area is difficult terrain for nonplant creatures. In addition, each creature of the blight's choice in that area when the plants appear must succeed on a DC ## Strength saving throw or become restrained. A creature can use its action to make a DC ## Strength check, freeing itself or another entangled creature within reach on a success."
53,Gibbering,Gibbering Mouther,Special Ability,AOE Debuff,"The $ babbles incoherently while it can see any creature and isn't incapacitated. Each creature that starts its turn within 20 feet of the $ and can hear the sound must succeed on a DC ## Wisdom saving throw. On a failure, the $ can't take reactions until the start of its next turn and rolls for the action during their turn as if under the effect of the confusion spell."
75,Negative Energy Cone,Death Tyrant,Special Ability,AOE Debuff,"The $ creates an invisible, magical ##-foot cone/square/circle of negative energy. At the start of eah of its turns, the $ decides which way the area faces and whether it is active. Any creature in that area can't regain hit points. Any humanoid that dies there becomes a zombie under the $'s command. The dead humanoid retains its place in the initiative order and animates at the start of its next turn, provided that its body hasn't been completely destroyed."
191,Hallucination Spores,Myconid Sovereign,Action,AOE Debuff,"The $ ejects spores at one creature it can see within 5 feet of it. The target must succeed on a DC ## Constitution saving throw or be poisoned for 1 minute. The poisoned target is incapacitated while it hallucinates. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
233,Pacifying Spores,Myconid Adult,Action,AOE Debuff,"The $ ejects spores at one creature it can see within 5 feet of it. The target must succeed on a DC ## Constitution saving throw or be stunned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the condition on itself on a success."
205,Howl,Demilich,Action,AOE Debuff,"The $ emits a bloodcurdling howl. Each creature within 30 feet of the $ that can hear the howl must succeed on a DC ## Constitution saving throw or drop to 0 hit points. On a successful save, the $ is frightened until the end of its next turn."
289,Stunning Screech,Vrock,Action,AOE Debuff,The $ emits a horrific screech. Each creature within 20 feet of it that can hear it and that isn't a demon must succeed on a DC ## Constitution saving throw or be stunned until the end of the $'s next turn.
254,Roar,Androsphinx,Action,AOE Debuff,"The $ emits a magical roar. Each time it roars before finishing a long rest, the roar is louder and the effect is different. Each creature within 500 feet of the $ and able to hear the roar must make a saving throw. On the first roar, each creature that fails a DC ## Wisdom saving throw is frightened for 1 minute. A frightened creature can repeat the saving throw at the end fo each of its turns, ending the effect on itself on a success. On the second roar, each creature that fails a DC ## Wisdom saving throw is deafened and frightened for 1 minute. A frightened creature is paralyzed and can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. On the third roar, each creature makes a DC ## Constitution saving throw. On a failed save, a creature takes thunder damage and is knocked prone. On a successful save, the $ takes half as much damage and isn't knocked prone."
134,Blinding Breath,Dust Mephit,Action,AOE Debuff,"The $ exhales a cone of blinding dust. Each creature in that area must succeed on a DC ## Dexterity saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
234,Paralysis Gas,Pentadrone,Action,AOE Debuff,"The $ exhales a cone of gas. Each creature in that area must succeed on a DC ## Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
145,Cinder Breath,Smoke Mephit,Action,AOE Debuff,The $ exhales a cone of smoldering ash. Each creature in that area must succeed on a DC ## Dexterity saving throw or be blinded until the end of the $'s next turn.
172,Euphoria Breath,Faerie Dragon,Action,AOE Debuff,"The $ exhales a puff of euphoria gas at one creature within 5 feet of it. The target must succeed on a DC ## Wisdom saving throw, or for 1 minute the target can't take reactions and must roll a d6 at the start of each of its turns to determine its behavior during that turn: 1-4 the target takes no action or bonus action and uses all of its movement to move in a random direction. 5-6 the target doesn't move, and the only thing it can do on its turn is make a DC ## Wisdom saving throw, ending the effect on itself on a success."
275,Slowing Breath,Copper Dragon,Action,AOE Debuff,"The $ exhales gas in a cone. Each creature in that area must succeed on a DC ## Constitution saving throw. On a failed save, the $ can't use its reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the $ can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The $ can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save."
312,Weakening Breath,Gold Dragon,Action,AOE Debuff,"The $ exhales gas in a cone. Each creature in the area must succeed on a DC ## Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
235,Paralyzing Breath,Silver Dragon,Action,AOE Debuff,"The $ exhales paralyzing gas in a cone. Each creature in that area must succeed on a DC ## Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
237,Petrifying Breath,Gorgon,Action,AOE Debuff,"The $ exhales petrifying gas in a cone. Each creature in the area must succeed on a DC ## Constitution saving throw. On a failed save, a target begins to turn to stone and is restrained. The restrained target must repeat the saving throw at the end of its next turn. On a success, the effect ends on the target. On a failure, the target is petrified until freed by the greater restoration spell or other magic."
253,Repulsion Breath,Bronze Dragon,Action,AOE Debuff,"The $ exhales repulsion energy in a cone. Each creature in that area must succeed on a DC ## Strength saving throw. On a failed save, the $ is pushed away from the $. "
271,Sleep Breath,Brass Dragon,Action,AOE Debuff,The $ exhales sleep gas in a cone. Each creature in that area must succeed on a DC ## Constitution saving throw or fall unconscious for 1 minute. This effect ends for a creature if the $ takes damage or someone uses an action to wake it.
204,Horror Nimbus,Nalfeshnee,Action,AOE Debuff,"The $ magically emits scintillating, multicolored light. Each creature within 15 feet of the $ that can see the light must succeed on a DC ## Wisdom saving throw or be frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the $ is immune to the $'s Horror Nimbus for the next 24 hours."
337,Cloud of Dust,Demilich,Legendary Action,AOE Debuff,"The $ magically swirls dusty remains. Each creature within 10 feet of the $, including around a corner, must succeed on a DC ## Constitution saving throw or be blinded until the end of the $'s next turn. A creature that succeeds on the saving throw is immune to this effect until the end of the $'s next turn."
214,Javelin,Aarakocra,Action,,Melee or ranged weapon attack.
278,Spear,Bullywug,Action,,Melee or ranged weapon attack.
303,Trident,Marid,Action,,Melee or ranged weapon attack.
335,Channel Negative Energy,Mummy Lord,Legendary Action,AOE Debuff,"The $ magically unleashes negative energy. Creatures within 60 feet of the $, including ones behind barriers and around corners, can't regain hit points until the end of the $'s next turn."
36,Drone,Chasme,Special Ability,AOE Debuff,"The $ produces a horrid droning sound. Any other creature that starts its turn within 30 feet of the chasme must succeed on a DC ## Constitution saving throw or fall unconscious for 10 minutes. A creature that can' thear the $ automatically succeeds on the save. The effect on the $ ends if it takes damage or other. If a creature's saving throw is successful or the effect ends for it, it is immune to the drone for the next 24 hours."
265,Shock,Will-oÂ´-Wisp,Action,,Melee spell attack.
307,Wail,Banshee,Action,AOE Debuff,"The $ releases a mournful wail, provided that it isn't in sunlight. This wail has no effect on constructs and undead. All other creatures within 30 feet of it that can hear it must make a DC ## Constitution saving throw. On a failure, a creature drops to 0 hit points. On a success, a creature takes psychic damage."
221,Luring Song,Harpy,Action,AOE Debuff,"The $ sings a magical melody. Every humanoid and giant within 300 feet of the $ that can hear the song must succeed on a DC ## Wisdom saving throw or be charmed until the song ends. The $ must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the $ is incapacitated. While charmed by the $, a target is incapacitated and ignores the song of other similar creatures. If the charmed target is more than 5 feet away from the $, the target can take the Dash action on its turn to move toward the $ by the most direct route. It doesn't avoid opportunity attacks, but before moving into damaging terrain, such as lava or a pit, and whenever it takes damage from a source other than the $, a target can repeat the saving throw. A creature can also repeat the saving throw at the end of each of its turns. If a creature's saving throw is successful, the effect ends on it. A target that successfully saves is immune to this creature's song for the next 24 hours."
135,Blinding Spittle,Gibbering Mouther,Action,AOE Debuff,The $ spits a chemical glob at a point it can see within 15 feet of it. The glob explodes in a blinding flash of light on impact. Each creature within 5 feet of the flash must succeed on a DC ## Dexterity saving throw or be blinded until the end of the $'s next turn.
131,Beak,Grell,Action,,Melee weapon attack.
133,Bite,Ankheg,Action,,Melee weapon attack.
146,Claws,Dretch,Action,,Melee weapon attack.
147,Club,Dryad,Action,,Melee weapon attack.
181,Fist,Barlgura,Action,,Melee weapon attack.
184,Fork,Horned Devil,Action,,Melee weapon attack.
188,Gore,Gorgon,Action,,Melee weapon attack.
189,Greatclub,Fomorian,Action,,Melee weapon attack.
190,Greatsword,Planetar,Action,,Melee weapon attack.
197,Heavy Club,Lizardfolk,Action,,Melee weapon attack.
200,Hook,Hook Horror,Action,,Melee weapon attack.
201,Hooves,Centaur,Action,,Melee weapon attack.
202,Horns,Chimera,Action,,Melee weapon attack.
222,Mace,Deva,Action,,Melee weapon attack.
223,Mandibles,Umber Hulk,Action,,Melee weapon attack.
228,Morningstar,Bugbear,Action,,Melee weapon attack.
239,Pike,Centaur,Action,,Melee weapon attack.
246,Pseudopod,Mimic,Action,,Melee weapon attack.
247,Quarterstaff,Druid,Action,,Melee weapon attack.
248,Rake,Awakened Shrub,Action,,Melee weapon attack.
249,Ram,Satyr,Action,,Melee weapon attack.
258,Rotting Touch,Violet Fungus,Action,,Melee weapon attack.
260,Scepter,Kuo-Toa,Action,,Melee weapon attack.
261,Scimitar,Djinni,Action,,Melee weapon attack.
262,Scourge,Drow Priestess of Lolth,Action,,Melee weapon attack.
266,Shortsword,Satyr,Action,,Melee weapon attack.
269,Slam,Animated Armor,Action,,Melee weapon attack.
277,Snake Hair,Medusa,Action,,Melee weapon attack.
279,Spiked Bone Club,Grimlock,Action,,Melee weapon attack.
280,Spiked Shield,Lizardfolk,Action,,Melee weapon attack.
283,Staff,Drow Mage,Action,,Melee weapon attack.
293,Tail,Aboleth,Action,,Melee weapon attack.
297,Talon,Aarakocra,Action,,Melee weapon attack.
300,Tentacle,Aboleth,Action,,Melee weapon attack.
305,Unarmed Strike,Githzerai Monk,Action,,Melee weapon attack.
309,War Pick,Duergar,Action,,Melee weapon attack.
310,Warhammer,Azer,Action,,Melee weapon attack.
318,Withering Touch,Ghost,Action,,Melee weapon attack.
358,Trembling Strike,Empyrean,Legendary Action,AOE Debuff,"The $ strikes the ground with its maul, triggering an earth tremor. All other creatures on the ground within 60 feet of the $ must succeed on a DC ## Strength saving throw or be knocked prone."
274,Slow,Stone Golem,Action,AOE Debuff,"The $ targets one or more creatures it can see within 10 feet of it. Each target must make a DC ## Wisdom saving throw against this magic. On a failed save, a target can't use its reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the target can take either an action or a bonus action on its turn, not both. These effects last for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
329,Blasphemous Word,Mummy Lord,Legendary Action,AOE Debuff,The $ utters a blasphemous word. Each non-undead creature within 10 feet of the $ that can hear the magical utterance must succeed on a DC ## Constitution saving throw or be stunned until the end of the $'s next turn.
207,Hypnotic Gaze,Ultroloth,Action,AOE Debuff,"The $'s eyes sparkle with opalescent light as it targets one creature it can see within 30 feet of it. If the target can see the $, the target must suceed on a DC ## Wisdom saving throw agaisnt this magic or be charmed until the end of the $'s next turn. The charmed target is stunned. If the target's saving throw is successful, the target is immune to the $'s gaze for the next 24 hours."
2,Aberrant Ground,Gibbering Mouther,Special Ability,AOE Debuff,The ground in a sphere around the $ is doughlike difficult terrain. Each creature that starts its turn in that area must succeed on a DC ## Strength saving throw or have its speed reduced to 0 until the start of its next turn.
347,Ink Cloud,Kraken,Legendary Action,AOE Debuff,"While underwater, the $ expels an ink cloud in a sphere. The cloud spreads around corners, and that area is heavily obscured to creatures other than the $. Each creature other than the $ that ends ist turn there must succeed on a DC ## Constitution saving throw, taking poison damage on a failed save, or half as much damagege on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the $'s next turn."
225,Mind Blast,Mind Flayer,Action,AOE Debuff Damage,"The $ magically emits psychic energy in a cone. Each creature in that area must succeed on a DC ## Intelligence saving throw or take psychic damage and be stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
362,Wing Attack,Blue Dracolich,Legendary Action,AOE Debuff Damage Movement,"The $ beats its tattered wings. Each creature within 10 feet of the $ must succeed on a DC ## Dexterity saving throw or take bludgeoning damage and be knocked prone. After beating its wings this way, the $ can fly up to half its flying speed."
24,Consume Life,Will-o'-Wisp,Special Ability,Attack,"As a bonus action, the $ can target one creature it can see within 5 feet of it that has 0 hit points and is still alive. The target must succeed on a DC ## Constitution saving throw against this magic or die. If the target dies, the $ regains hit points."
158,Deadly Leap,Bulette,Action,Attack,"If the $ jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC ## Strength or Dexterity saving throw or be knocked prone and take bludgeoning and slashing damage. On a successful save, the $ takes only half damage, isn't knocked prone, and is pushed out of the $'s space into an unoccupied space of the $'s choice. If no unoccupied space is within range, the $ instead falls prone in the $'s space."
81,Pounce,Tiger,Special Ability,Attack,"If the $ moves at least 20 feet straight toward a creature and then hits it with a melee attack on the same turn, that target must succeed on a DC ## Strength saving throw or be knocked prone. If the target is prone, the $ can make one attack against it as a bonus action."
22,Charge,Centaur,Special Ability,Attack,"If the $ moves at least 30 feet straight toward a target and then hits it with a weapon attack on the same turn, the target takes an extra type damage."
156,Dagger,Kobold,Action,Attack,Melee or ranged weapon attack.
193,Harpoon,Merrow,Action,Attack,"Melee or ranged weapon attack. If the target is a Huge or smaller creature, it must succeed on a Strength contest against the $ or be pulled up to 20 feet toward the $. "
150,Corrupting Touch,Banshee,Action,Attack,Melee spell attack.
130,Battleaxe,Ettin,Action,Attack,Melee weapon attack.
164,Drop,Piercer,Action,Attack,"Melee weapon attack. If hit, deals damage per 10 feet fallen up to a max. If missed, the $ takes half the normal fall damage for the distance fallen."
136,Blood Drain,Stirge,Action,Attack,"Melee weapon attack. If hit, the $ attaches to the target. While attached, the $ doesnt attack. Instead, at the start of each of the $'s turns, the target loses hit points due to blood loss. The $ can detach itself by spending 5 feet of its movement. It does so after it drains ## hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the $. "
287,Stinger,Wyvern,Action,Attack,"Melee weapon attack. If hit, the target must make a DC ## Constitution saving throw, taking poison damage on a failed save, or half as much damage on a successful one."
296,Tail Stinger,Purple Worm,Action,Attack,"Melee weapon attack. If hit, the target must make a DC ## Constitution saving throw, taking poison damage on a failed save, or half as much damage on a successful one."
132,Beard,Bearded Devil,Action,Attack,"Melee weapon attack. If hit, the target must succeed on a DC ## Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of of each of its turns, ending the effect on itself on a success."
286,Sting,Bone Devil,Action,Attack,"Melee weapon attack. If hit, the target must succeed on a DC ## Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
316,Whip,Balor,Action,Attack,"Melee weapon attack. If hit, the target must succeed on a DC ## Strength saving throw or be pulled toward the $."
